Category,Subcategory,Place,Address
Tutorial Rooms,NIE5,507,"Tutorial Room 507 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR507"
Tutorial Rooms,NIE5,508,"Tutorial Room 508 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-TR508"
Tutorial Rooms,NIE7,701,"Tutorial Room 701 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR701"
Tutorial Rooms,NIE7,702,"Tutorial Room 702 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR702"
Tutorial Rooms,NIE7,703,"Tutorial Room 703 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR703"
Tutorial Rooms,NIE7,704,"Tutorial Room 704 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR704"
Tutorial Rooms,NIE7,705,"Tutorial Room 705 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR705"
Tutorial Rooms,NIE7,706,"Tutorial Room 706 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR706"
Tutorial Rooms,NIE7,707,"Tutorial Room 707 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR707"
Tutorial Rooms,NIE7,708,"Tutorial Room 708 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR708"
Tutorial Rooms,NIE7,709,"Tutorial Room 709 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR709"
Tutorial Rooms,NIE7,710,"Tutorial Room 710 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR710"
Tutorial Rooms,NIE7,711,"Tutorial Room 711 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR711"
Tutorial Rooms,NIE7,712,"Tutorial Room 712 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR712"
Tutorial Rooms,NIE7,713,"Tutorial Room 713 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR713"
Tutorial Rooms,NIE7,714,"Tutorial Room 714 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR714"
Tutorial Rooms,NIE7,715,"Tutorial Room 715 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR715"
Tutorial Rooms,NIE7,716,"Tutorial Room 716 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR716"
Tutorial Rooms,NIE7,717,"Tutorial Room 717 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR717"
Tutorial Rooms,NIE7,718,"Tutorial Room 718 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR718"
Tutorial Rooms,NIE7,719,"Tutorial Room 719 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR719"
Tutorial Rooms,NIE7,720,"Tutorial Room 720 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR720"
Tutorial Rooms,NIE7,721,"Tutorial Room 721 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR721"
Tutorial Rooms,NIE7,722,"Tutorial Room 722 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-TR722"
Tutorial Rooms +,HSS,1,"Tutorial Room + 1 - HSS, School of Humanities / School of Social Sciences, HSS-B1-08, 48 Nanyang Avenue, Singapore 639818"
Tutorial Rooms +,HSS,2,"Tutorial Room + 2 - HSS, School of Humanities / School of Social Sciences, HSS-B1-07, 48 Nanyang Avenue, Singapore 639818"
Tutorial Rooms +,HSS,5,"Tutorial Room + 5 - HSS, School of Humanities / School of Social Sciences, HSS-B1-12, 48 Nanyang Avenue, Singapore 639818"
Tutorial Rooms +,North Spine,1,"Tutorial Room + 1, Block NS4, NS4-05-79"
Tutorial Rooms +,North Spine,2,"Tutorial Room + 2, Block NS4, NS4-05-80"
Tutorial Rooms +,North Spine,3,"Tutorial Room + 3, Block NS4, NS4-05-81"
Tutorial Rooms +,North Spine,4,"Tutorial Room + 4, Block NS4, NS4-05-82"
Tutorial Rooms +,North Spine,5,"Tutorial Room + 5, Block NS4, NS4-05-83"
Tutorial Rooms +,North Spine,6,"Tutorial Room + 6, Block NS4, NS4-05-84"
Tutorial Rooms +,North Spine,7,"Tutorial Room + 7, Block NS4, NS4-05-85"
Tutorial Rooms +,North Spine,8,"Tutorial Room + 8, Block NS4, NS4-05-86"
Tutorial Rooms +,North Spine,9,"Tutorial Room + 9, Block NS4, NS4-05-87"
Tutorial Rooms +,North Spine,15,"Tutorial Room + 15, Block NS4, NS4-05-93"
Tutorial Rooms +,North Spine,16,"Tutorial Room + 16, Block NS4, NS4-05-94"
Tutorial Rooms +,North Spine,17,"Tutorial Room + 17, Block NS4, NS4-05-95"
Tutorial Rooms +,North Spine,18,"Tutorial Room + 18, Block NS4, NS4-05-96"
Tutorial Rooms +,North Spine,19,"Tutorial Room + 19, Block NS4, NS4-05-97"
Tutorial Rooms +,North Spine,20,"Tutorial Room + 20, Block NS4, NS4-05-98"
Tutorial Rooms +,North Spine,21,"Tutorial Room + 21, Block NS4, NS4-05-99"
Tutorial Rooms +,North Spine,22,"Tutorial Room + 22, Block NS4, NS4-05-100"
Tutorial Rooms +,North Spine,23,"Tutorial Room + 23, Block NS4, NS4-05-101"
Tutorial Rooms +,North Spine,29,"Tutorial Room + 29, Block NS2, NS2-05-22"
Tutorial Rooms +,North Spine,30,"Tutorial Room + 30, Block NS2, NS2-05-23"
Tutorial Rooms +,North Spine,31,"Tutorial Room + 31, Block NS2, NS2-05-24"
Tutorial Rooms +,North Spine,32,"Tutorial Room + 32, Block NS2, NS2-05-25"
Tutorial Rooms +,North Spine,33,"Tutorial Room + 33, Block NS2, NS2-05-26"
Tutorial Rooms +,North Spine,34,"Tutorial Room + 34, Block NS2, NS2-05-27"
Tutorial Rooms +,North Spine,35,"Tutorial Room + 35, Block NS2, NS2-05-28"
Tutorial Rooms +,North Spine,36,"Tutorial Room + 36, Block NS2, NS2-05-29"
Tutorial Rooms +,North Spine,37,"Tutorial Room + 37, Block NS2, NS2-05-30"
Tutorial Rooms +,N2,43,"Tutorial Room x 43, Block N2, N2-B2A-05"
Tutorial Rooms +,N2,44,"Tutorial Room x 44, Block N2, N2-B2A-06"
Tutorial Rooms +,N2,45,"Tutorial Room + 45, Block N2, N2-B4C-21"
Tutorial Rooms +,N2,46,"Tutorial Room + 46, Block N2, N2-B4C-20"
Tutorial Rooms +,N2,47,"Tutorial Room + 47, Block N2, N2-B4C-19"
Tutorial Rooms +,N2,48,"Tutorial Room + 48, Block N2, N2-B4C-18"
Tutorial Rooms +,N2,49,"Tutorial Room + 49, Block N2, N2-B4C-17"
Tutorial Rooms +,N2,50,"Tutorial Room + 50, Block N2, N2-B4C-16"
Tutorial Rooms +,N2,51,"Tutorial Room + 51, Block N2, N2-B4C-12"
Tutorial Rooms +,N2,58,"Tutorial Room + 58, Block N2, N2-B4C-06"
Tutorial Rooms +,South Spine,61,"Tutorial Room + 61, Block SS1, SS1-B1-07"
Tutorial Rooms +,South Spine,62,"Tutorial Room + 62, Block SS1, SS1-B1-06"
Tutorial Rooms +,South Spine,63,"Tutorial Room + 63, Block SS1, SS1-B1-05"
Tutorial Rooms +,South Spine,64,"Tutorial Room + 64, Block SS1, SS1-B1-04"
Tutorial Rooms +,South Spine,65,"Tutorial Room + 65, Block SS1, SS1-B1-03"
Tutorial Rooms +,South Spine,66,"Tutorial Room + 66, Block SS1, SS1-B1-02"
Tutorial Rooms +,South Spine,67,"Tutorial Room + 67, Block SS1, SS1-B1-01"
Tutorial Rooms +,South Spine,68,"Tutorial Room + 68, Block SS1, SS1-B1-14"
Tutorial Rooms +,South Spine,69,"Tutorial Room + 69, Block SS1, SS1-B1-13"
Tutorial Rooms +,South Spine,77,"Tutorial Room + 77, Block SS4, SS4-B1-34"
Tutorial Rooms +,South Spine,78,"Tutorial Room + 78, Block SS4, SS4-B1-33"
Tutorial Rooms +,South Spine,79,"Tutorial Room + 79, Block SS4, SS4-B1-32"
Tutorial Rooms +,South Spine,80,"Tutorial Room + 80, Block SS4, SS4-B1-31"
Tutorial Rooms +,South Spine,87,"Tutorial Room + 87, Block SS4, SS4-B1-30"
Tutorial Rooms +,South Spine,88,"Tutorial Room + 88, Block SS2, SS2-01-09"
Tutorial Rooms +,South Spine,89,"Tutorial Room + 89, Block SS2, SS2-01-10"
Tutorial Rooms +,South Spine,90,"Tutorial Room + 90, Block SS2, SS2-01-11"
Tutorial Rooms +,South Spine,91,"Tutorial Room + 91, Block SS2, SS2-01-12"
Tutorial Rooms +,South Spine,92,"Tutorial Room + 92, Block SS2, SS2-01-13"
Tutorial Rooms +,South Spine,93,"Tutorial Room + 93, Block SS2, SS2-01-14"
Tutorial Rooms +,South Spine,94,"Tutorial Room + 94, Block SS2, SS2-01-15"
Tutorial Rooms +,South Spine,95,"Tutorial Room + 95, Block SS2, SS2-01-16"
Tutorial Rooms +,South Spine,96,"Tutorial Room + 96, Block SS2, SS2-01-17"
Tutorial Rooms +,South Spine,106,"Tutorial Room + 106, Block SS4, SS4-01-40"
Tutorial Rooms +,South Spine,107,"Tutorial Room + 107, Block SS4, SS4-01-39"
Tutorial Rooms +,South Spine,108,"Tutorial Room + 108, Block SS4, SS4-01-38"
Tutorial Rooms +,South Spine,109,"Tutorial Room + 109, Block SS4, SS4-01-37"
Tutorial Rooms +,South Spine,110,"Tutorial Room + 110, Block SS4, SS4-01-36"
Tutorial Rooms +,South Spine,111,"Tutorial Room + 111, Block SS4, SS4-01-35"
Tutorial Rooms +,South Spine,112,"Tutorial Room + 112, Block SS4, SS4-01-34"
Tutorial Rooms +,South Spine,113,"Tutorial Room + 113, Block SS4, SS4-01-33"
Tutorial Rooms +,South Spine,114,"Tutorial Room + 114, Block SS4, SS4-01-32"
Tutorial Rooms +,South Spine,122,"Tutorial Room x 122, Block SS4, SS4-01-24"
Tutorial Rooms +,S4,151,"Tutorial Room + 151, Block S4, S4-B2C-36"
Tutorial Rooms +,S4,152,"Tutorial Room + 152, Block S4, S4-B2C-38"
Tutorial Rooms +,S4,153,"Tutorial Room + 153, Block S4, S4-B2C-39"
Tutorial Rooms +,S4,154,"Tutorial Room + 154, Block S4, S4-B2C-41"
Tutorial Rooms +,S4,159,"Tutorial Room + 159, Block S4, S4-B2C-46"
Tutorial Rooms +,S4,160,"Tutorial Room + 160, Block S4, S4-B2C-48"
Tutorial Rooms +,S4,165,"Tutorial Room + 165, Block S4, S4-B2C-53"
Tutorial Rooms +,S4,166,"Tutorial Room + 166, Block S4, S4-B2C-55"
Tutorial Rooms +,SBS,5,"Tutorial Room + 5 - SBS, School of Biological Sciences (SBS), SBS-01N-25, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms +,SBS,6,"Tutorial Room + 6 - SBS, School of Biological Sciences (SBS), SBS-01N-26, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms +,SCBE,1,"Tutorial Room + 1 - BIE, Block N1.3, N1.3-B4M-02, 70 Nanyang Drive, Singapore 637457"
Tutorial Rooms +,SCBE,2,"Tutorial Room + 2 - BIE, Block N1.3, N1.3-B4M-04, 70 Nanyang Drive, Singapore 637457"
Tutorial Rooms +,SPMS,1,"Tutorial Room + 1 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-07, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,2,"Tutorial Room + 2 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-06, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,3,"Tutorial Room + 3 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-06, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,4,"Tutorial Room + 4 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-05, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,5,"Tutorial Room + 5 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-04, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,6,"Tutorial Room + 6 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-03, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,7,"Tutorial Room + 7 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-02, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,8,"Tutorial Room + 8 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-12, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,9,"Tutorial Room + 9 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-11, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,10,"Tutorial Room + 10 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-10, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,11,"Tutorial Room + 11 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-08, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,12,"Tutorial Room + 12 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-06, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,13,"Tutorial Room + 13 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-05, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,14,"Tutorial Room + 14 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-04, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,15,"Tutorial Room + 15 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-03, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,16,"Tutorial Room + 16 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-02, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,17,"Tutorial Room + 17 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-12, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,18,"Tutorial Room + 18 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-10, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,19,"Tutorial Room + 19 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-09, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,SPMS,20,"Tutorial Room + 20 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-05-07, 21 Nanyang Link, Singapore 637371"
Tutorial Rooms +,The Arc - Learning Hub North,1,"Tutorial Room + 1 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-01, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,2,"Tutorial Room + 2 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-02, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,3,"Tutorial Room + 3 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-03, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,4,"Tutorial Room + 4 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-04, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,5,"Tutorial Room + 5 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-05, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,6,"Tutorial Room + 6 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-06, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,7,"Tutorial Room + 7 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-07, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,8,"Tutorial Room + 8 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-08, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,9,"Tutorial Room + 9 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-09, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,10,"Tutorial Room + 10 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-10, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,11,"Tutorial Room + 11 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-11, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,12,"Tutorial Room + 12 - LHN, The Arc - Learning Hub North (LHN), LHN-B2-12, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,13,"Tutorial Room + 13 - LHN, The Arc - Learning Hub North (LHN), LHN-01-01, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,14,"Tutorial Room + 14 - LHN, The Arc - Learning Hub North (LHN), LHN-01-02, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,15,"Tutorial Room + 15 - LHN, The Arc - Learning Hub North (LHN), LHN-01-03, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,16,"Tutorial Room + 16 - LHN, The Arc - Learning Hub North (LHN), LHN-01-04, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,17,"Tutorial Room + 17 - LHN, The Arc - Learning Hub North (LHN), LHN-01-05, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,18,"Tutorial Room + 18 - LHN, The Arc - Learning Hub North (LHN), LHN-01-06, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,19,"Tutorial Room + 19 - LHN, The Arc - Learning Hub North (LHN), LHN-01-07, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,20,"Tutorial Room + 20 - LHN, The Arc - Learning Hub North (LHN), LHN-01-08, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,21,"Tutorial Room + 21 - LHN, The Arc - Learning Hub North (LHN), LHN-01-09, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,22,"Tutorial Room + 22 - LHN, The Arc - Learning Hub North (LHN), LHN-01-10, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,23,"Tutorial Room + 23 - LHN, The Arc - Learning Hub North (LHN), LHN-01-11, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,24,"Tutorial Room + 24 - LHN, The Arc - Learning Hub North (LHN), LHN-01-12, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,25,"Tutorial Room + 25 - LHN, The Arc - Learning Hub North (LHN), LHN-01-13, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,26,"Tutorial Room + 26 - LHN, The Arc - Learning Hub North (LHN), LHN-01-14, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,27,"Tutorial Room + 27 - LHN, The Arc - Learning Hub North (LHN), LHN-01-15, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,28,"Tutorial Room + 28 - LHN, The Arc - Learning Hub North (LHN), LHN-01-16, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,29,"Tutorial Room + 29 - LHN, The Arc - Learning Hub North (LHN), LHN-01-17, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,30,"Tutorial Room + 30 - LHN, The Arc - Learning Hub North (LHN), LHN-01-18, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,31,"Tutorial Room + 31 - LHN, The Arc - Learning Hub North (LHN), LHN-01-19, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,32,"Tutorial Room + 32 - LHN, The Arc - Learning Hub North (LHN), LHN-01-20, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,33,"Tutorial Room + 33 - LHN, The Arc - Learning Hub North (LHN), LHN-01-21, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,34,"Tutorial Room + 34 - LHN, The Arc - Learning Hub North (LHN), LHN-01-22, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,35,"Tutorial Room + 35 - LHN, The Arc - Learning Hub North (LHN), LHN-02-01, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,36,"Tutorial Room + 36 - LHN, The Arc - Learning Hub North (LHN), LHN-02-02, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,37,"Tutorial Room + 37 - LHN, The Arc - Learning Hub North (LHN), LHN-02-03, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,38,"Tutorial Room + 38 - LHN, The Arc - Learning Hub North (LHN), LHN-02-04, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,39,"Tutorial Room + 39 - LHN, The Arc - Learning Hub North (LHN), LHN-02-05, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,40,"Tutorial Room + 40 - LHN, The Arc - Learning Hub North (LHN), LHN-02-06, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,41,"Tutorial Room + 41 - LHN, The Arc - Learning Hub North (LHN), LHN-02-07, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,42,"Tutorial Room + 42 - LHN, The Arc - Learning Hub North (LHN), LHN-02-08, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,43,"Tutorial Room + 43 - LHN, The Arc - Learning Hub North (LHN), LHN-02-09, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,44,"Tutorial Room + 44 - LHN, The Arc - Learning Hub North (LHN), LHN-02-10, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,45,"Tutorial Room + 45 - LHN, The Arc - Learning Hub North (LHN), LHN-02-11, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,46,"Tutorial Room + 46 - LHN, The Arc - Learning Hub North (LHN), LHN-02-12, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,47,"Tutorial Room + 47 - LHN, The Arc - Learning Hub North (LHN), LHN-02-13, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,48,"Tutorial Room + 48 - LHN, The Arc - Learning Hub North (LHN), LHN-02-14, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,49,"Tutorial Room + 49 - LHN, The Arc - Learning Hub North (LHN), LHN-02-15, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,50,"Tutorial Room + 50 - LHN, The Arc - Learning Hub North (LHN), LHN-02-16, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,51,"Tutorial Room + 51 - LHN, The Arc - Learning Hub North (LHN), LHN-02-17, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,52,"Tutorial Room + 52 - LHN, The Arc - Learning Hub North (LHN), LHN-02-18, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,53,"Tutorial Room + 53 - LHN, The Arc - Learning Hub North (LHN), LHN-02-19, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,54,"Tutorial Room + 54 - LHN, The Arc - Learning Hub North (LHN), LHN-02-20, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,55,"Tutorial Room + 55 - LHN, The Arc - Learning Hub North (LHN), LHN-02-21, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Arc - Learning Hub North,56,"Tutorial Room + 56 - LHN, The Arc - Learning Hub North (LHN), LHN-02-22, 63 Nanyang Drive, Singapore 636922"
Tutorial Rooms +,The Hive,2,"Tutorial Room + 2 - LHS, The Hive, LHS-B4-01, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,3,"Tutorial Room + 3 - LHS, The Hive, LHS-B4-02, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,4,"Tutorial Room + 4 - LHS, The Hive, LHS-B4-03, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,5,"Tutorial Room + 5 - LHS, The Hive, LHS-B4-04, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,6,"Tutorial Room + 6 - LHS, The Hive, LHS-B4-05, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,7,"Tutorial Room + 7 - LHS, The Hive, LHS-B4-06, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,8,"Tutorial Room + 8 - LHS, The Hive, LHS-B4-07, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,9,"Tutorial Room + 9 - LHS, The Hive, LHS-B4-08, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,10,"Tutorial Room + 10 - LHS, The Hive, LHS-B4-09, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,11,"Tutorial Room + 11 - LHS, The Hive, LHS-B4-10, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,12,"Tutorial Room + 12 - LHS, The Hive, LHS-B4-11, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,13,"Tutorial Room + 13 - LHS, The Hive, LHS-B3-01, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,14,"Tutorial Room + 14 - LHS, The Hive, LHS-B3-02, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,15,"Tutorial Room + 15 - LHS, The Hive, LHS-B3-03, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,16,"Tutorial Room + 16 - LHS, The Hive, LHS-B3-04, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,17,"Tutorial Room + 17 - LHS, The Hive, LHS-B3-05, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,18,"Tutorial Room + 18 - LHS, The Hive, LHS-B3-06, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,19,"Tutorial Room + 19 - LHS, The Hive, LHS-B3-07, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,20,"Tutorial Room + 20 - LHS, The Hive, LHS-B3-08, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,21,"Tutorial Room + 21 - LHS, The Hive, LHS-B3-09, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,22,"Tutorial Room + 22 - LHS, The Hive, LHS-B3-10, 52 Nanyang Avenue, Singapore 639816"
Tutorial Rooms +,The Hive,23,"Tutorial Room + 23 - LHS, The Hive, LHS-B3-11, 52 Nanyang Avenue, Singapore 639816"
